"X","Y","DateTime"
"424.0","242.7","237603326457"
"423.9","243.1","237603334794"
"437.0","251.1","237603343114"
"452.0","270.9","237603351485"
"452.0","270.9","237603359892"
"456.8","277.3","237603368227"
"455.3","333.4","237603376436"
"453.3","332.8","237603384820"
"444.5","332.0","237603401436"
"429.9","287.0","237603409765"
"453.7","425.6","237603418080"
"485.7","549.8","237603426520"
"495.3","598.7","237603434842"
"546.7","806.1","237603443125"
"535.8","800.1","237603451446"
"548.6","823.9","237603459789"
"510.9","792.7","237603468060"
"509.4","799.2","237603476413"
"509.4","799.1","237603484749"
"517.7","801.9","237603493089"
"521.1","819.7","237603501406"
"513.0","796.9","237603509799"
"496.6","809.6","237603518115"
"498.3","806.3","237603526521"
"479.4","773.1","237603534784"
"504.1","795.4","237603543151"
"498.7","795.4","237603551462"
"511.3","818.1","237603559826"
"473.7","784.0","237603568156"
"499.4","811.3","237603576458"
"481.6","786.6","237603584763"
"480.5","779.4","237603593079"
"472.0","778.0","237603601508"
"472.9","811.2","237603618106"
"474.5","809.7","237603626354"
"486.6","798.8","237603634701"
"500.8","814.7","237603643025"
"462.3","765.9","237603651420"
"480.3","769.0","237603659719"
"481.2","767.9","237603667997"
"484.5","768.8","237603676379"
"484.2","768.7","237603684798"
"482.8","771.1","237603693009"
"479.0","768.9","237603701388"
"481.5","769.0","237603717987"
"475.3","772.0","237603726328"
"475.6","772.1","237603734636"
"488.0","811.6","237603743159"
"445.8","806.1","237603751475"
"445.9","806.1","237603759791"
"419.3","837.7","237603767943"
"411.0","839.6","237603776437"
"408.9","839.7","237603784765"
"402.4","808.6","237603793084"
"398.3","811.0","237603801483"
"409.2","841.8","237603809712"
"398.8","813.7","237603818163"
"413.6","841.9","237603826293"
"416.6","843.8","237603834733"
"418.8","847.6","237603842961"
"420.6","851.9","237603851397"
"418.6","854.0","237603859724"
"422.4","824.4","237603868101"
"416.8","816.9","237603876385"
"417.0","816.8","237603884779"
"415.4","812.2","237603893073"
"419.6","817.1","237603901469"
"419.6","817.1","237603909706"
"417.8","821.4","237603918037"
"416.8","818.4","237603926350"
"419.1","817.7","237603934705"
"414.8","818.4","237603943001"
"424.5","816.2","237603951436"
"424.5","816.2","237603959717"
"425.4","816.1","237603968105"
"423.0","817.8","237603976355"
"423.8","817.6","237603984813"
"442.3","818.6","237603993051"
"487.9","824.3","237604001340"
"487.7","824.4","237604009761"
"494.7","823.8","237604018060"
"490.4","819.1","237604026449"
"490.4","819.2","237604034749"
"505.0","852.8","237604043055"
"502.1","852.3","237604051442"
"494.7","847.4","237604059675"
"486.5","815.8","237604068014"
"490.5","814.0","237604076397"
"490.5","814.1","237604084704"
"498.1","850.5","237604092945"
"495.2","852.0","237604101399"
"499.6","859.3","237604109741"
"488.6","814.0","237604118048"
"497.4","807.4","237604126372"
"497.3","807.3","237604134704"
"485.3","805.7","237604143067"
"480.6","802.4","237604151366"
"480.6","802.4","237604159643"
"475.2","802.5","237604167961"
"476.8","806.0","237604176290"
"478.0","805.5","237604184580"
"478.6","805.4","237604192990"
"476.9","810.8","237604201293"
"480.9","810.2","237604209738"
"481.2","838.6","237604218017"
"469.3","804.4","237604226275"
"471.1","803.9","237604234727"
"470.4","803.2","237604243031"
"483.9","835.2","237604251307"
"481.5","820.5","237604259571"
"487.3","811.9","237604268012"
"489.1","805.4","237604276288"
"484.5","779.6","237604284546"
"488.5","802.3","237604293093"
"489.9","803.7","237604301344"
"492.3","808.0","237604309720"
"490.1","810.2","237604318003"
"491.4","810.8","237604326338"
"492.6","810.1","237604334748"
"492.8","810.5","237604342949"
"490.1","810.0","237604351285"
"486.2","809.4","237604359589"
"487.5","809.0","237604367827"
"492.3","812.1","237604376179"
"495.5","812.5","237604384569"
"491.1","811.2","237604392952"
"485.7","810.1","237604401373"
"489.9","813.8","237604409598"
"492.0","815.8","237604418006"
"496.2","816.5","237604426348"
"494.0","820.8","237604434654"
"495.7","791.9","237604443053"
"500.6","792.1","237604451315"
"509.4","818.2","237604459547"
"507.9","822.1","237604467835"
"501.3","821.1","237604476205"
"500.8","820.8","237604484665"
"502.8","820.8","237604492946"
"503.6","818.8","237604501358"
"503.3","819.3","237604509549"
"504.5","819.2","237604517902"
"505.0","820.6","237604526355"
"506.6","817.7","237604534683"
"508.8","819.9","237604543049"
"470.3","778.8","237604551248"
"470.3","779.1","237604559698"
"429.5","811.6","237604567908"
"384.1","786.5","237604576395"
"394.6","814.9","237604584676"
"407.9","821.0","237604592860"
"408.1","799.2","237604601365"
"408.1","799.2","237604609682"
"412.2","795.2","237604617959"
"408.4","794.0","237604626181"
"408.3","794.1","237604634590"
"400.3","789.3","237604642942"
"396.6","792.0","237604651330"
"396.6","791.9","237604659578"
"402.1","798.9","237604667963"
"410.1","798.3","237604676228"
"410.3","798.3","237604684645"
"409.4","792.5","237604692836"
"405.4","793.4","237604701295"
"405.4","793.4","237604709589"
"409.5","796.5","237604717946"
"400.6","795.2","237604726336"
"400.3","795.1","237604734628"
"404.7","798.5","237604743004"
"417.8","793.1","237604759673"
"417.1","790.5","237604767944"
"415.3","795.4","237604776205"
"417.0","794.9","237604784592"
"419.4","794.2","237604792929"
"418.3","802.2","237604801320"
"418.3","802.3","237604809706"
"418.1","803.7","237604817970"
"423.9","797.2","237604826305"
"423.8","797.2","237604834524"
"422.5","802.4","237604842958"
"416.7","802.7","237604851237"
"416.7","802.7","237604859484"
"408.4","798.2","237604867826"
"402.4","795.4","237604876265"
"402.3","795.5","237604884573"
"411.7","801.0","237604892934"
"419.8","800.2","237604901204"
"419.7","800.5","237604909595"
"424.0","796.4","237604917972"
"421.3","800.6","237604926287"
"421.4","800.6","237604934655"
"417.8","809.7","237604942978"
"422.6","807.5","237604951291"
"422.8","807.0","237604959650"
"423.8","800.7","237604967934"
"416.0","796.2","237604976264"
"415.9","796.0","237604984563"
"417.9","796.9","237604992896"
"420.5","801.7","237605001286"
"420.5","801.7","237605009600"
"421.6","797.0","237605017935"
"433.7","798.9","237605026289"
"434.3","799.0","237605034582"
"474.9","817.2","237605042941"
"496.9","797.4","237605051295"
"496.8","797.5","237605059535"
"500.8","794.6","237605067795"
"495.8","797.2","237605076224"
"495.9","797.1","237605084547"
"504.3","805.7","237605092863"
"512.9","825.2","237605101262"
"509.7","802.2","237605109592"
"506.3","799.5","237605117819"
"505.9","802.0","237605126171"
"506.0","802.1","237605134568"
"497.2","803.5","237605142929"
"488.4","802.5","237605151195"
"488.3","802.4","237605159597"
"493.1","798.8","237605167994"
"499.6","797.9","237605176260"
"499.6","797.9","237605184646"
"499.4","797.7","237605192872"
"497.2","796.9","237605201243"
"496.6","796.5","237605209587"
"498.2","795.6","237605217820"
"501.7","817.8","237605226241"
"498.7","812.5","237605234519"
"476.6","809.0","237605242874"
"450.9","773.1","237605251179"
"453.6","773.6","237605259523"
"456.0","775.3","237605267841"
"449.2","764.3","237605276176"
"449.0","764.4","237605284573"
"445.8","764.1","237605292808"
"440.3","769.3","237605301168"
"440.2","769.3","237605309532"
"439.3","768.8","237605317853"
"439.0","763.9","237605326200"
"438.9","764.0","237605334523"
"444.7","763.8","237605342786"
"442.8","770.1","237605351158"
"443.1","770.1","237605359535"
"439.5","766.0","237605367844"
"438.8","766.6","237605376142"
"439.1","766.7","237605384500"
"442.6","773.1","237605392950"
"443.4","773.5","237605401239"
"444.4","773.3","237605409636"
"441.2","773.0","237605417913"
"445.7","778.9","237605426203"
"447.9","779.1","237605434495"
"450.2","809.2","237605442863"
"430.2","766.9","237605451234"
"433.4","767.3","237605459437"
"441.5","766.9","237605467772"
"434.5","773.6","237605476189"
"434.5","773.6","237605484572"
"437.1","777.1","237605492841"
"446.0","774.9","237605501217"
"446.0","774.9","237605509378"
"463.2","809.0","237605517814"
"457.4","796.6","237605526206"
