"X","Y","DateTime"
"91.6","337.9","237267761087"
"107.0","316.4","237267777606"
"105.7","314.3","237267785877"
"135.6","330.9","237267794244"
"149.1","344.0","237267802595"
"148.8","333.4","237267810999"
"141.9","325.1","237267819437"
"133.7","312.5","237267827697"
"130.7","333.6","237267836075"
"131.9","336.5","237267844439"
"125.9","336.4","237267852787"
"118.1","316.2","237267861062"
"109.9","312.4","237267869262"
"103.6","309.4","237267877768"
"101.1","308.2","237267886178"
"94.7","318.9","237267894560"
"116.6","324.5","237267902730"
"126.1","328.8","237267911022"
"131.1","327.4","237267919443"
"119.2","319.2","237267927728"
"120.7","341.6","237267935929"
"129.0","335.1","237267944345"
"130.3","339.8","237267952652"
"125.4","331.9","237267961010"
"167.3","367.9","237267969358"
"147.4","335.9","237267977611"
"157.9","320.0","237267985970"
"168.1","327.3","237267994374"
"173.3","331.4","237268002644"
"180.1","355.0","237268011041"
"209.5","396.7","237268027633"
"204.4","374.9","237268035946"
"185.1","355.8","237268052640"
"124.1","284.4","237268060940"
"161.3","356.7","237268077618"
"119.6","269.3","237268086005"
"155.4","314.6","237268094316"
"172.3","320.6","237268102629"
"198.3","370.2","237268110971"
"196.2","315.9","237268119293"
"195.9","327.8","237268127657"
"193.5","335.5","237268135902"
"200.2","384.1","237268144332"
"176.9","365.1","237268152608"
"175.2","360.5","237268160973"
"172.4","360.5","237268169362"
"177.9","345.9","237268177736"
"176.5","343.0","237268185955"
"190.5","352.7","237268194302"
"159.7","343.2","237268202561"
"195.6","382.3","237268210915"
"182.6","377.5","237268219270"
"193.4","396.2","237268227621"
"184.6","348.0","237268235823"
"201.1","331.7","237268244262"
"221.5","313.3","237268252649"
"236.5","274.3","237268260980"
"244.6","252.7","237268269288"
"247.8","261.1","237268277648"
"222.1","229.4","237268285919"
"237.8","241.8","237268294270"
"224.9","214.6","237268302568"
"219.5","210.5","237268311043"
"214.8","242.6","237268319298"
"202.3","221.5","237268327541"
"202.5","221.4","237268335909"
